location	aan	agent	als	beiden	besluit	bij	buiten	daar	dan_1	dat	de_12	door	een_count	een_det	er	even	extra	gerinkel	glas	glaszetter_1	goed	gooien	he	heel	hem	het	hij_2	hoek	houden	huizen	in	ineens	is	jongetje_2	juist	klein	klinkt	korte	krijgen	later	let	loopt_1	lopen	lukt	maar_3	met_1	mevrouw	naar	net	niet	nou	nu	of	om	ontdaan	ook	op	pakken	politieagent	repareren	ruit	ruiten	samen	sneuvelen	staan	stapt	steen	stil	straat	straten	te_1	tijd	toevallig	van_2	veel	vraagt	vrouw	wil_1	ze_1	ziet
Appelscha	a	plisi	əs		bəslyt	bɛi	bytn	də	dæn	dæ	də	dʏr	ein	ən	ər	ebm				xlæzənsɛtər	xut	xɒin	hei	hɪl		hɛd	i	hukə	hɒdn	hysn	ɪn	ɪnɪs	ɪs	jɒxi	jyst	klɛin		kɒrtə		lætər	kikt	lœp				mɛt	frau	nɛ	nɛt	nit	nʌ		ɒf	ɔm	ɔndʌn	ok	ɔp	pakŋ	plitsi	mækŋ	rytə	rytn	sæmm	snøfələ		kʌmt	stinə	stɪl	strʌtə	strʌtn	tə	tit	tufaləx	fan	fʌl	frʌxt	frau	ʋɪl	zə	sit
Axel	ɑn	pʊlisi	ɑt	ɑləbæi	bəslyt	bi	bytn	dʊ	dɑ	da	də	dʏr	ɪ	ən	dər		ɛkstrə	χəriŋkəl	χlɑs	hlɑsætər		χʊin	e		əm	t	i	uk	ɑun	ysn	ɛn	ɔpɪs	ɪs	jɔŋəcə	jyst	klɛin		kɒrtə	krihən	dənɑ	læt	lopt	lopm	lʏkt	mʌ	met	frɑuə	nɑ	næt	ni	nʊ		ɒf	ɔm	ɪləmɒlfɑslaχ	ʊk	ɔp	pɑkŋ	pʊlitsi	mʌkŋ	ram	ramm	samm	snøfəln		kɔmt	stɪ	stɪl	strʌtə	strʌtn	tə	tit	tufɑləχ	fɑn	fe	frɑχt	frɑuə	wɪl	zə	sit
Budel	ɒn	plizi	as	ɑləbæi	wɪl	bi	butə	dɑ	dɑn	dæ	də	dʏʀ	in	ən		ɛfə	ækstʀə	çəʀɪŋkəl	ɡlɔɑs	çlɒsætəʀ	çu	çɒiə	hɛ		əm	hət	i	hʊk	hɑuə	husəʀ	ɪn		ɪs	mænəkə	kʀɛk	klæn		kɒʀtə	kʀiçə	lɒtəʀ	læt	lœp		lʏkt	mɑʀ	mɛi	fʀɒu	nə	jyst	nɪt	nɤu	nɒu	ɒf				ɔp	pakə	pəlisi	mɑkə	ʀut	ʀutə		snøfələ		kæmd	kɛi	stɪl	stʀɒət		tə	tit	tufɑləç	fɑn		fʀʏçt	fʀɒu	wʏl	zə	zit
Deerlijk		flik	ʌt	ɒlətwɪ	bəslɛst		bytn		tʊn	dɑ	də	dʏr	ɛnə	ən	ər	wɑ		lɑwɔi	hlɑs	hlʌzəmʌkər	hu	smɪtn			æm	t	i	ɤuk	pɑkŋ	ysn	ɛn	ɔmənəkɪr	ɛs	fɪncə	ʃyst	klɪən		nitfɪl		lʌtər	læt	lʊpt		lœkt	mʌ	mæt	frəu	næ	ʒystə	ni		nu	ɒfdɑt	ɔm	ɛnpɑnik		ɔp	pɑk	flik	fəmʌkŋ	rytə	rytn	təɒpə	hʌtkapɒt		lœpt	stɪn	stɛl	strɒtə		tə	tit	lækŋ	fan	fɪl	frɒht	frəu	wɛl	zə	zit
DenBurg	ɑn	ɑxɛnt	ɒs	bɛidə	bəslyt	bɛi	bytə	dɪ	dɑj		də	dʏr	in	ən	ər	ɛfə		xərɪŋkəl	xlɑs	xlɑsɛtər	xut	xʊiə	hei	hɪl	əm	hɛt	i	huk	hauə	hyzə	ɪn	ɪnins	ɪs	jɒxi	nɛt	klɛin	klɪŋkt	kɒrtə		latər	kikt	loupt	lɔpə	lʏkt	mɑr	mɛt	frau		nɛt	nit		ny	ɒf	ɔm			ɔp		ɑxɛnt	makə	ryt	rytə	samə	breikə		stap	stin	stɪl	strɪt	strɪt		tit		fɑn	fɪl	fraxt	frau	ʋɪl		sit
Dendermonde	ɒn	pʊlis	ɑs	ɑlətwi	wɪl	bɛi	bœytn	də	tæn	dɑ	də	dʏr	ɪ			əbɪcə		çərɪŋkəl	çlɑs	çlɒsəmɒkər	çud	smætn		il		ət	m	uk	hɑrə	œsə	ɪn	ɪninəkir	ɪs		ʃyst		klɪŋk	kɛrtn		nɒdin	læt	loupt	lʏpə		mɒr	mæt	frɑ	nə	ʃyst	ni		nɑ	ɒfdɑt		fərʃçʊtə	ɯk	ɔp	pɑkə	pʊlis	mɒkə	çlɑs	fɛstərs	sɒmə	snøfələn	stɒn	kɔm	stɪn	stɪl	strɒt			tæt		fɑn	fɪl	frɒçt	frɑ	wɪl	zə	zit
Didam	æn	ɑçɛnt	ɑt	bɛiə	bəslyt	bei	bytə	dʊ	dan	da	də	dʏr	ɪ	ən	ər	ɛfkəs	ɛkstrɑ	çərɪŋkəl	çlas	çlasætər	çut	çʊiə	hɛ	hɪl	əm	ət	he	huk	hɒə	hyzə	ɪn	ɪnɛns	ɪs	jʏŋskə	jyst	klɛin	kliŋk	kɒrtə	kriçə	latər	lɛt	lœp	lopə	lʏkt	mʌr	mɛt	frəu	nɔ	nɛt	nit	nʊ	nɒu	ɒf	ɔm	ɔndan	ok	ɔp	pɑkə	pəlitsiɑçɛnt	rəpərɪrə	rytə	rytə	samə	snøfələ		stɑpt	stin	stɪl	strʌt		tə	tit	tufɑləç	fan	fœl	frʏç	frɑu	wʏl	z	sʏt
Diepenbeek	ɔp	pəlɪs	ɑs	ɑlətwi	çɛt	bɛi	bɔətə	dʊ	dan	da	də		en	ə		bicə		çəʀɪŋkəl	çlɑs	çlɑzəmɑkəʀ	çut	çʊia		hɪl		t	ɪ	hok	pakə	hœs	ɔp		ɪs	jʏŋskə	ʃyst	klɛin	klɪŋkt	kɒʀtn		dəʀnɒ	læit	lœpt	lopə		mei	bæ	fʀʌu	nə	ʃyst	nɛ	nɑu	nɑ	ɒf		kəmpletfanhaʀkɑt	oç	ɔp	ʃæʀə	pəlis	mɑkə	fɪnstəʀ	fɛnstəʀs	çəlɛik			tret	sten	stɪl	stʀɔət		tə	tæt		fan	fœl	fʀʏçt	fʀʊmɛs	wɪlt		sɪt
Dokkum	an	pliʃə	ɑt	bɛidə	bəslyt	bai	bytn	dɛ		da	də	dʏr	ɪ	ən	dər	əskɒft	ɛkstrə	ɡərɪŋkəl	ɡl̴ɑs	ɡlɑsmæn	ɡut	ɡʊiə	hɛ	hɪl	əm	ət	hɛi	hukə	hauən	hyzn	ɪn	ɪnɪs	ɪs	jɔŋkjə	jyst	kl̴ɛin	kl̴ɪŋk	kɒrtə	kræiən	l̴atər	l̴ɛt	loupt		lœkt	mar	mɛt	frau	nar	krɛkt	nit	nau	nɑu		ɔm	ɔntdan	ok	ɔp	pakŋ	pliʃəman	repərɪrə	ryt	rytə	təɡarə	snøfələ		kɔmt	stɪ	stɪl	strat	stratn	tə	tit	tufaləx	fan	føl	fraxt	frau	ʋɪl	sə	sit
Dordrecht		ɑxɛnt	ɑls		ʋɪl		baytə	da	dɑn	dɑ	də	dʊr		ən			ɛkstrɑ			xlɑsɛtər	xut	xʊiə	hei		əm	hət	hɛi	huk	pɑkə			əneins	ɪs	jɒxi		klɛin			krɛixə		lɛt	lɤupt	lɤupə	lʏkt	mɑr	mɛt	frau	na	nɛt	nit		ny	ɒf				ɔp	pɑkə	ɑxɛnt	makə	rœyt	raytə	samə				stein	stɪl	strat	stratə	tə		tufɑləx	fɑn		fraxt	frau	ʋɪl		sit
