location	word	transcription
Aalsmeer NH	aarde	ʔɒrde
Aalsmeer NH	adem	ʔɒdəm
Aalsmeer NH	appels	ʔapəls
Aalsmeer NH	armen	ʔarəmə
Aalsmeer NH	auto's	ʔautous
Aalsmeer NH	baarden	bærdə
Aalsmeer NH	bedden	bɛdə
Aalsmeer NH	benen	binə
Aalsmeer NH	beenderen	binə
Aalsmeer NH	beren (wild)	berə
Aalsmeer NH	beurzen	børzə
Aalsmeer NH	bezems	beizəmps
Aalsmeer NH	bier	bir
Aalsmeer NH	bijen	bajə
Aalsmeer NH	bladen	blɒjə
Aalsmeer NH	bladeren	
Aalsmeer NH	bokken	bɔkə
Aalsmeer NH	bomen	boumə
Aalsmeer NH	bonen	bonə
Aalsmeer NH	boter	botər
Aalsmeer NH	broeken	brukə
Aalsmeer NH	broers	brurs
Aalsmeer NH	broden	brojə
Aalsmeer NH	dagen	daxə
Aalsmeer NH	daken	dakə
Aalsmeer NH	damp	damp
Aalsmeer NH	darmen	darəmə
Aalsmeer NH	deeg	deiχ
Aalsmeer NH	deuren	dørə
Aalsmeer NH	dingen	dɪŋə
Aalsmeer NH	dieven	diʋə
Aalsmeer NH	dochters	dɔχtərs
Aalsmeer NH	doeken	dukə
Aalsmeer NH	donder	ʔəndɔndər
Aalsmeer NH	dorst	dɔɼt
Aalsmeer NH	draden	
Aalsmeer NH	duiven	dʌɥwə
Aalsmeer NH	dweilen	dʋailə
Aalsmeer NH	eeuwen	ʔeuwə
Aalsmeer NH	eieren	ʔɒiərə
Aalsmeer NH	einde	ʔaində
Aalsmeer NH	engelen	ʔɛŋələ
Aalsmeer NH	ezels	ʔeizəls
Aalsmeer NH	flessen	flɛsə
Aalsmeer NH	fruit	frʌɥt
Aalsmeer NH	gal	χal
Aalsmeer NH	ganzen	χazə
Aalsmeer NH	geld	xɛlt
Aalsmeer NH	gerst	χɔɼt
Aalsmeer NH	glazen	χlazə
Aalsmeer NH	god	xɔt
Aalsmeer NH	goud	χaut
Aalsmeer NH	graven	χraʋə
Aalsmeer NH	gras	χras
Aalsmeer NH	haken	ɦeikə
Aalsmeer NH	hanen	ɦanə
Aalsmeer NH	haast	ɦeist
Aalsmeer NH	handen	ɦandə
Aalsmeer NH	haver	ɦaʋər
Aalsmeer NH	heren	ɦerə
Aalsmeer NH	hemden	ɦɛmdə
Aalsmeer NH	hemel	ɦeiməl
Aalsmeer NH	hengsten	ɦɛŋkstə
Aalsmeer NH	hoeden	ɦudə
Aalsmeer NH	holen	ɦɔlə
Aalsmeer NH	honden	ɦɔndə
Aalsmeer NH	honger	ɦɔŋər
Aalsmeer NH	hooi	ɦoi
Aalsmeer NH	hopen	ɦoupə
Aalsmeer NH	hoop (espoir)	ɦoup
Aalsmeer NH	horens	ɦorəns
Aalsmeer NH	huizen	ɦʌɥzə
Aalsmeer NH	jongen	
Aalsmeer NH	kaas	keis
Aalsmeer NH	kaf	kaf
Aalsmeer NH	kalveren	kaləʋə
Aalsmeer NH	kammen (1)	kamə
Aalsmeer NH	kamers	kamərs
Aalsmeer NH	kanten	kɒntə
Aalsmeer NH	karren	karə
Aalsmeer NH	kasten	kastə
Aalsmeer NH	katten	katə
Aalsmeer NH	kermis	kɛrəmɪs
Aalsmeer NH	kersen	kɔɼsə
Aalsmeer NH	kervel	kɛrəʋəl
Aalsmeer NH	kinderen	kaindərs
Aalsmeer NH	klaver	klaʋər
Aalsmeer NH	kleden	kleidə
Aalsmeer NH	klederen	klerə
Aalsmeer NH	knechten	knɛxs
Aalsmeer NH	knieen	knɪjə
Aalsmeer NH	koeien	kujə
Aalsmeer NH	kommen	kɔmə
Aalsmeer NH	konijnen	kənainə
Aalsmeer NH	koorts	koɼ
Aalsmeer NH	koper	koupər
Aalsmeer NH	kousen	kausə
Aalsmeer NH	kramp	kramp
Aalsmeer NH	lammeren	lamə
Aalsmeer NH	lampen	lampə
Aalsmeer NH	latten	latə
Aalsmeer NH	leem	leim
Aalsmeer NH	leugens	løɥɣəs
Aalsmeer NH	leden	leijə
Aalsmeer NH	liederen	lidərə
Aalsmeer NH	lijken	lɒikə
Aalsmeer NH	lucht	loxt
Aalsmeer NH	magen	maʁə
Aalsmeer NH	maanden	mandə
Aalsmeer NH	maten	
Aalsmeer NH	marmer	marəmər
Aalsmeer NH	mazelen	mazələ
Aalsmeer NH	mei	mai
Aalsmeer NH	melk	mɛlək
Aalsmeer NH	merg	mɛrəx
Aalsmeer NH	meid	ʔəmmɒit
Aalsmeer NH	meubels	møɥbələ
Aalsmeer NH	modder	mɔdər
Aalsmeer NH	moes	mus
Aalsmeer NH	mossels	mɔsələ
Aalsmeer NH	muizen	mʌɥzə
Aalsmeer NH	muren	mʏrə
Aalsmeer NH	naalden	nældə
Aalsmeer NH	negers	neixərs
Aalsmeer NH	noten	nøɥtə
Aalsmeer NH	ogen	ʔouχə
Aalsmeer NH	oogst	ʔoχst
Aalsmeer NH	paarden	pærdə
Aalsmeer NH	paden	pajə
Aalsmeer NH	padden	padəs
Aalsmeer NH	Pasen	pasə
Aalsmeer NH	peren	perə
Aalsmeer NH	pekel	ʔəmpeikəl
Aalsmeer NH	peper	peipər
Aalsmeer NH	pijpen	paipə
Aalsmeer NH	planken	plaŋkə
Aalsmeer NH	pleinen	plainə
Aalsmeer NH	ploegen (werktuig)	pluɣə
Aalsmeer NH	potten	pɔtə
Aalsmeer NH	regen	reiɣə
Aalsmeer NH	ribben	rɪbə
Aalsmeer NH	riet	rit
Aalsmeer NH	rijst	raist
Aalsmeer NH	ringen	rɪŋə
Aalsmeer NH	rogge	rɔɣə
Aalsmeer NH	rokken	rɔkə
Aalsmeer NH	rondes	rɔndəs
Aalsmeer NH	rook	rouk
Aalsmeer NH	runderen	
Aalsmeer NH	ruzies	rʏzis
Aalsmeer NH	sap	sɔp
Aalsmeer NH	saus	saus
Aalsmeer NH	schapen	sxæpə
Aalsmeer NH	schade	sxadə
Aalsmeer NH	schimmel	sxɪməl
Aalsmeer NH	schepen	sxeipə
Aalsmeer NH	schoenen	sxunə
Aalsmeer NH	scholen	sxolə
Aalsmeer NH	schuld	sxolt
Aalsmeer NH	slijm	slaim
Aalsmeer NH	smeden	smɪts
Aalsmeer NH	sneeuw	snʏʔ
Aalsmeer NH	soep	sup
Aalsmeer NH	spelden	spɛldə
Aalsmeer NH	sport (spel)	spɔrt
Aalsmeer NH	stallen	stalə
Aalsmeer NH	stenen	stinə
Aalsmeer NH	stoelen	stulə
Aalsmeer NH	stof (huisvuil)	
Aalsmeer NH	stokken	stɔkə
Aalsmeer NH	straten	streitə
Aalsmeer NH	strepen	streipə
Aalsmeer NH	suiker	sʌɥkər
Aalsmeer NH	taarten	tartə
Aalsmeer NH	tafels	tafəls
Aalsmeer NH	takken	takə
Aalsmeer NH	tanden	tɒndə
Aalsmeer NH	tangen	taŋə
Aalsmeer NH	tantes	tantəs
Aalsmeer NH	tarwe	tarəwə
Aalsmeer NH	tenen	teijə
Aalsmeer NH	torens	torəs
Aalsmeer NH	tralies	tralis
Aalsmeer NH	trams	trɛmə
Aalsmeer NH	treinen	
Aalsmeer NH	twijfel	twaifəl
Aalsmeer NH	uilen	ʔʌɥlə
Aalsmeer NH	vader	fadər
Aalsmeer NH	vaten	fatə
Aalsmeer NH	verf	førəf
Aalsmeer NH	vesten	fɛstə
Aalsmeer NH	veulens	føləs
Aalsmeer NH	vijgen	faiɣə
Aalsmeer NH	vingers	fɪŋərs
Aalsmeer NH	vissen	fɪsə
Aalsmeer NH	vlaggen	flɒɣə
Aalsmeer NH	vlas	flas
Aalsmeer NH	vlees	flɒs
Aalsmeer NH	vlooien	flojə
Aalsmeer NH	vloeken	flukə
Aalsmeer NH	voeten	futə
Aalsmeer NH	vogels	foɣəls
Aalsmeer NH	volk	fɔlək
Aalsmeer NH	vuur	fʏr
Aalsmeer NH	wafels	wafəls
Aalsmeer NH	wegen (1)	weiɣə
Aalsmeer NH	wijven	waiʋə
Aalsmeer NH	wijn	wain
Aalsmeer NH	wol	wɔl
Aalsmeer NH	woorden	wordə
Aalsmeer NH	zakken	zakə
Aalsmeer NH	zand	zant
Aalsmeer NH	zee	zei
Aalsmeer NH	zeep	zeip
Aalsmeer NH	zeilen	zailə
Aalsmeer NH	ziektes	ziktəs
Aalsmeer NH	zonen	zøɥs
Aalsmeer NH	aardig	ʔardəx
Aalsmeer NH	arm	ʔarəm
Aalsmeer NH	bezig	beizəx
Aalsmeer NH	bitter	bɪtər
Aalsmeer NH	blauw	blæu
Aalsmeer NH	bleek	bleik
Aalsmeer NH	blind	blɪnt
Aalsmeer NH	blond	blɔnt
Aalsmeer NH	braaf	braf
Aalsmeer NH	breed	breit
Aalsmeer NH	bruin	brʌɥn
Aalsmeer NH	diep	dip
Aalsmeer NH	dik	dɪk
Aalsmeer NH	dol	dɔl
Aalsmeer NH	donker	dɔŋkər
Aalsmeer NH	doof	douf
Aalsmeer NH	droog	droux
Aalsmeer NH	dubbel	dobəl
Aalsmeer NH	dun	don
Aalsmeer NH	duur	dir
Aalsmeer NH	echt	ʔɛχt
Aalsmeer NH	eigen	ʔaiɣə
Aalsmeer NH	enkel	ʔɛŋkəl
Aalsmeer NH	fel	fɛl
Aalsmeer NH	fijn	fɒin
Aalsmeer NH	flauw	flers
Aalsmeer NH	geel	χel
Aalsmeer NH	gewoon	χəwøɥn
Aalsmeer NH	goed	χut
Aalsmeer NH	gouden	χaut
Aalsmeer NH	grijs	χrais
Aalsmeer NH	groen	χrun
Aalsmeer NH	grof	χrɔf
Aalsmeer NH	groot	χrot
Aalsmeer NH	haastig	ɦeistəx
Aalsmeer NH	half	ɦaləf
Aalsmeer NH	hard	ɦard
Aalsmeer NH	heel	ɦel
Aalsmeer NH	heet	ɦeit
Aalsmeer NH	heilig	ɦailəx
Aalsmeer NH	hol	ɦɔl
Aalsmeer NH	hoog	ɦouχ
Aalsmeer NH	jong	jɔŋ
Aalsmeer NH	juist	jʌɥst
Aalsmeer NH	kalm	kaləm
Aalsmeer NH	klein	klɒn
Aalsmeer NH	koel	kul
Aalsmeer NH	kort	kɔrt
Aalsmeer NH	koud	kaut
Aalsmeer NH	kreupel	krøɥpəl
Aalsmeer NH	krom	krɔm
Aalsmeer NH	kwaad	kweit
Aalsmeer NH	laag	lɒx
Aalsmeer NH	laat	lɒt
Aalsmeer NH	lam	lam
Aalsmeer NH	lang	laŋ
Aalsmeer NH	lastig	lastɨx
Aalsmeer NH	ledig	leix
Aalsmeer NH	licht	lɪxt
Aalsmeer NH	lomp	lɔmp
Aalsmeer NH	lui	lʌɥ
Aalsmeer NH	mager	maɣər
Aalsmeer NH	moe	mui
Aalsmeer NH	mogelijk	mouɣələk
Aalsmeer NH	nat	nat
Aalsmeer NH	nieuw	not
Aalsmeer NH	open	ʔoupə
Aalsmeer NH	oud	ʔaut
Aalsmeer NH	proper	proupər
Aalsmeer NH	raar	rar
Aalsmeer NH	recht	rɛxt
Aalsmeer NH	rijk	raik
Aalsmeer NH	rijp	raip
Aalsmeer NH	rond	rɔnt
Aalsmeer NH	rood	rot
Aalsmeer NH	scheef	sxif
Aalsmeer NH	scheel	sxel
Aalsmeer NH	scherp	sxarəp
Aalsmeer NH	schoon	sxon
Aalsmeer NH	schuw	sxʏw
Aalsmeer NH	simpel	sɪmpəl
Aalsmeer NH	slecht	slɛxt
Aalsmeer NH	slim	slɪm
Aalsmeer NH	smal	smal
Aalsmeer NH	stijf	staif
Aalsmeer NH	stil	stɪl
Aalsmeer NH	stom	stɔm
Aalsmeer NH	stout	staut
Aalsmeer NH	taai	taj
Aalsmeer NH	tam	
Aalsmeer NH	traag	trax
Aalsmeer NH	vals	fals
Aalsmeer NH	vast	ʋast
Aalsmeer NH	veel	føɥl
Aalsmeer NH	meer	mer
Aalsmeer NH	ver	fɛr
Aalsmeer NH	vers	fɔɼ
Aalsmeer NH	vet	fɛt
Aalsmeer NH	vol	fɔl
Aalsmeer NH	vreemd	freimt
Aalsmeer NH	vrij	frai
Aalsmeer NH	vroeg	frux
Aalsmeer NH	vuil	
Aalsmeer NH	warm	warəm
Aalsmeer NH	weinig	
Aalsmeer NH	wijd	wait
Aalsmeer NH	wild	wɪlt
Aalsmeer NH	wit	wɪt
Aalsmeer NH	zacht	zaxt
Aalsmeer NH	zeker	zeikər
Aalsmeer NH	ziek	zik
Aalsmeer NH	zilveren	zɪləʋər
Aalsmeer NH	zoet	zut
Aalsmeer NH	zout	zaut
Aalsmeer NH	zuur	zʏr
Aalsmeer NH	zwaar	zwær
Aalsmeer NH	zwart	zwart
Aalsmeer NH	bakken	bɒkə
Aalsmeer NH	barsten	bɔɼtə
Aalsmeer NH	beginnen	bəxɪnə
Aalsmeer NH	beven	beiʋə
Aalsmeer NH	bidden	bɪdə
