	als_o	als	bij_o	bij	buiten_o	buiten	door_o	door	glas_o	glas	goed_o	goed	hem_o	hem	hij_o	hij	hoek_o	hoek	houden_o	houden	huizen_o	huizen	in_o	in	is_o	is	juist_o	juist	klein_o	klein	korte_o	korte	krijgen	krijgen.1	later_o	later	loopt_o	loopt	lopen_o	lopen	met_o	met	naar_o	naar	niet_o	niet	nu_o	nu	om_o	om	ook_o	ook	op_o	op	ruit_o	ruit	steen_o	steen	stil_o	stil	straat_o	straat	straten_o	straten	tijd_o	tijd	vraagt_o	vraagt	wil_o	wil	ziet_o	ziet
diareg_jv_Appelscha	əs	ɑs	bɛi	bɛi	bytn	byʔn	dʏr	dœ			xut	xut			hɛi	hɛi	hukə	hukə	hɒdn	hɔdn	hysn	hysn	ɪn	ɪn	ɪs	ɪs	jyst	jyst	klɛin	klɛin	kɒrtə	kotə			lætər	lætə	lœp	lœp			mɛt	mɛ	nɛ	na	nit	nit			ɔm	om	ok	ok	ɔp	op	rytə	rytə	stinə	stinə	stɪl	stɪl	strʌtə	strɑtə	strʌtn	strɑʔn	tit	tit	frʌxt	frɑxt	ʋɪl	ʋɪl	sit	sit
diareg_jv_Dokkum	ɑt	at	bai	bɛi	bytn	byʔn	dʏr	dœ	ɡlɑs	glas	ɡut	guət	əm	əm	hɛi	hɛi	hukə	hukə	hauən	hɔuən	hyzn	hyzən			ɪs	ɪs	jyst	jyst	klɛin	klɛin	kɒrtə	kotə	kræiən	krɛiən	latər	latər	lʌp	lopt			mɛt	mɛ	nar	nar	nit	nit	nɑu	nɔu	ɔm	om	ok	ok	ɔp	op	ryt	ryt	stɪ	stiən	stɪl	stɪl	strat	strat	stratn	straʔn	tit	tit	fraxt	fraxt	ʋɪl	ʋɪl	sit	siət
diareg_jv_Eelde	ɑz	az	bi		butn	buʔn	dʏr	dœ	xlas	xlas	xɑud	xɔud	əm	əm	ə	i	hɑuk	hɔuk	hɒdn	hɔldn	huzn	huzn	ɪn	ɪn	ɪs	ɪs	jyst	jyst	klɛin	klɛin	kœrdə	kœdə			lɔtər	lɔtə	lɒp	lop	lɑupm	loʔm	mɛt	mɪ	nɔ	nɔ	nait	nɛit	nɑu	nɔu	ɔm	om	ouk	ok	ɔp	op	rut	rut	stɑin	stain	stɪl	stɪl	strʊt	strɔt	strʊtn	strɔʔn	tit	tit	frʊxt	frɔxt	ʋɪl	ʋɪl	sœt	sʏt
diareg_jv_Finsterwolde	az	as			butn	buʔn	dʏr	dœ	xlas	xlas	xɑud	xɔud	hɒm	om	hɑi	hai	hɑukə	hɔukə	hɒdn	hɔdn					ɪs	ɪs	nɛt	nɛd		løtjə	kœrtə	kœtə	kriɡŋ	krɪgŋ	lʊtər	lɔtər	lɒp	lop	lʌupm	loʔm	mɛt	mɪ	nɒ	nɔ	nɒit	nɔit	nɑu	nɔu	ɔm	om	ɤuk	ok	ɔp	op	rʊm		stɒinə	stɔinə	stɪl	stɪl	strʊtə	strɔtə	strʊtn	strɔʔn	tit	tit	frɑxt	vraxt	ʋɪl	ʋɪl	sʏxt	zʏx
diareg_jv_Grijpskerk	az	as	bɛi	be	bytn	byʔn	dʊr	do	xlas	xlas	xʊt	xud	hɛm	hɛm	hɛi	hɛi	huk		hɒln	hɔln	hyzn	hysn	ɪ	in	ɪs	ɪs	jyst	jyst	lʏ	lʏt	kɒrdə	kodə	kriɡŋ	kreŋ	lʌtər	lɑtə	lɒp	lop	loupm	loʔm	mɛt	mɛ	na	na	nɪt	nɪt		no			ɒk	ok	ɔp	op	rut	ryt	sten	stɪn	stɪl	stɪl	strʌt	strɑt	strɒtn	strɑʔn	tit	tit	frɒxt	frɔxt	ʋʏl	ʋɪl	sɪxt	sɪx
diareg_jv_Groenlo	əs	ɑs	bei	be	bytn	byʔn	dʏʀ	dœ	xlas	xlɑs	xʊd	xod			i	i			hɒln	hɔln	hysəʀ	hyzə	ɪn	ɪn	ɪs	ɪs	jyst	jyst	klɛin	klɛin					lʌtəʀ	lɔtə	lʏp	lɪp	lopm	lɔʔm	mɛt	mɪ	nə	na	net	net	nɒu	no	ɔm	ʏm			ɔp	op	ʀytə	rytə	sten	stenə	stɪl	stɪl	stʀʌtə	strɑtə					fʀœx	frœx	ʋʏl	ʋɪl	zʏt	zʏt
diareg_jv_Grolloo	as	as	bɛi	bɛi	bytn	byʔn	dʏr	dœ	xlas	xlas	xud	xud			ə	ə	huk	huk	hɒln	hɔldn	hyzn	hyzən	ɪn	ɪn	ɪs	ɪs	jyst	jyst	klɛin	klɛin	kœrtə	kœtə	kriɡŋ	krigŋ	lʌtər	lɑtə	lʌp	lop	lʌupm	loʔm	mɛt	mɪ	nɑ	na	nit	nit	nɑu	nɔu	ɔm	ʏm	ok	ok	ɔp	op	ryt	ryt	sten	stin	stɪl	stɪl	strat	strat	stratn	straʔn	tit	tit	frʌx	frɑx	wʏl	ʋɪl	sœt	zʏt
diareg_jv_Grouw	ɑt	ɑt	bai	bai	butn	buʔn	trɒx	trox	ɡlɛs	glɛs	ɡut	guət	əm	əm	hɛi	hɛi	hukə	hukə	hɒdn	hɑdn	hyzn	hyzən	ɪn	in	ɪs	ɪs	krɛkt	krɛʔ			kuɑtə	kʋatə	kræiən	kraiən	lɛtər	lɛtər	rɪnt		rɪnn	rɪn	mɑi	mai	na	na	nɛt	nɛt							ɔp	op	ryt	ryt	sti	stiən	stɪl	stɪl	strɪtə	strɪtə			tit	tit	freixət	frexət	ʋɔl	ʋɪl	ʃɔxt	ʃox
diareg_jv_IJsselmuiden	ʌs	ɑs	bei	bɛi	bytn	byʔn	dʏʀ	dœ	xlɑs	xlɑs	xut	xud	əm	əm	i	i	huk	huk	hɒln	hɔln	hyzn	hyzn	ɪn	ɪn	ɪs	ɪs	nɛt	nɛt		klɛin	kɑʀtə	kœtə	kʀiɡŋ	kriŋ	latəʀ	latə	lʌp	lœp	lʌupm	loʔm	mɛt	mɛ	nə	na	nit	nit	nɑu	nɔu	œm	ʏmə	ok	ok	ɔp	op	ʀytə	rytə	sten	sten	stɪl	stɪl	stʀʌtə	strɑtə	stʀʌtn	strɑʔn	tit	tit	fʀœx	frœx	ʋʏl	ʋɪl	zœt	zʏt
diareg_jv_Jubbega	ɑs	as	bai	bɛi	butn	buʔn	trɒx	trox		glɛs	ɡut	guət			hɛi	hɛi	hukə	hukə	hɑdn	hɑdn	hyzn	hyzən			ɪs	ɪs	krɛk	krɛʔ	lits	lits	kuɑtə	kʋatə			lɛtər	lɛtər	rɪnt		rɪnn	rɪn	mɛi	mɛi	na	na	nɛt	nɛt	nə	nɔu	ɔm	om			ɔp	op	ɡlɛs		sti	stiən	stɪl	stɪl	strɪtə	strɪtə	strɛtn	strɪʔn	tiət	tiət	freixət	freɣət	ʋɔl	ʋol	ʃœt	sjot
